loan_id,customer_id,loan_purpose,loan_amount,outstanding_balance,interest_rate,tenure_months,emi_amount,disbursal_date,loan_status
LN01268,CUST01268,Home Loan,1421000,1022372.12,8.89,60,29421.82,2019-09-04,Active
LN01269,CUST01269,Personal Loan,224000,157083.31,12.6,120,3291.92,2022-02-26,Active
LN01270,CUST01270,Home Loan,2580000,1227240.81,7.9,36,80728.86,2020-08-11,90+ DPD
LN01271,CUST01271,Home Loan,2904000,1982126.72,8.21,24,131618.37,2020-12-14,Active
LN01272,CUST01272,Home Loan,608000,411014.0,9.34,48,15228.45,2022-01-09,Active
LN01273,CUST01273,Personal Loan,454000,328012.35,13.24,36,15349.59,2020-09-22,Active
LN01274,CUST01274,Personal Loan,241000,74138.21,13.74,36,8206.41,2022-05-21,Written-Off
LN01275,CUST01275,Education Loan,466000,332056.98,9.47,60,9780.04,2022-10-24,Active
LN01276,CUST01276,Personal Loan,438000,323697.23,14.2,48,12012.99,2022-02-04,Active
LN01277,CUST01277,Personal Loan,454000,270228.0,13.61,120,6943.03,2020-10-10,60 DPD
LN01278,CUST01278,Home Loan,2035000,1375023.35,7.48,36,63282.46,2022-01-23,Active
LN01279,CUST01279,Business Loan,1319000,702213.59,11.77,240,14312.39,2022-01-27,60 DPD
LN01280,CUST01280,Home Loan,2619000,1279041.36,9.28,48,65522.69,2021-06-24,90+ DPD
LN01281,CUST01281,Gold Loan,269000,183423.85,9.24,60,5615.38,2020-11-19,Active
LN01282,CUST01282,Personal Loan,239000,166809.86,12.5,24,11306.45,2019-02-17,Active
LN01283,CUST01283,Home Loan,3737000,2401353.96,9.9,60,79216.46,2019-06-25,Active
LN01284,CUST01284,Personal Loan,247000,171655.68,12.99,180,3123.52,2020-02-03,Active
LN01285,CUST01285,Home Loan,1695000,972692.36,9.22,84,27460.61,2019-02-14,60 DPD
LN01286,CUST01286,Home Loan,2273000,1216724.11,9.61,36,72927.83,2022-07-05,90+ DPD
LN01287,CUST01287,Personal Loan,152000,51003.28,14.33,48,4178.83,2019-11-10,Written-Off
LN01288,CUST01288,Personal Loan,216000,138386.36,12.78,48,5771.18,2019-06-15,Active
LN01289,CUST01289,Home Loan,2260000,1346660.49,9.36,24,103621.21,2023-03-19,30 DPD
LN01290,CUST01290,Auto Loan,647000,447068.67,10.18,120,8614.77,2023-10-20,Active
LN01291,CUST01291,Business Loan,1275000,774941.44,10.94,48,32915.9,2021-10-12,60 DPD
LN01292,CUST01292,Personal Loan,374000,189877.81,13.43,60,8592.2,2020-04-25,90+ DPD
LN01293,CUST01293,Home Loan,2473000,1811420.68,7.7,36,77153.03,2021-05-30,Active
LN01294,CUST01294,Home Loan,1197000,777086.47,8.81,36,37958.52,2023-02-04,Active
LN01295,CUST01295,Home Loan,899000,617324.44,9.13,180,9187.91,2020-11-29,Active
LN01296,CUST01296,Education Loan,421000,244297.35,10.4,12,37090.96,2020-08-31,30 DPD
LN01297,CUST01297,Auto Loan,525000,349353.55,9.94,48,13300.23,2019-07-10,Active
LN01298,CUST01298,Personal Loan,247000,84003.26,12.76,84,4461.25,2019-02-12,Written-Off
LN01299,CUST01299,Home Loan,3717000,2629764.48,7.53,48,89925.03,2021-02-10,Active
LN01300,CUST01300,Home Loan,2045000,1368581.98,9.04,48,50928.76,2020-11-13,Active
LN01301,CUST01301,Education Loan,370000,126430.12,10.28,60,7912.48,2019-08-25,Written-Off
LN01302,CUST01302,Personal Loan,300000,216061.7,13.94,240,3717.5,2023-09-21,Active
LN01303,CUST01303,Gold Loan,127000,88130.79,8.31,84,1999.12,2021-03-27,Active
LN01304,CUST01304,Gold Loan,177000,113718.28,8.49,180,1741.95,2020-06-15,Active
LN01305,CUST01305,Education Loan,537000,397091.65,9.04,84,8650.74,2020-11-15,Active
LN01306,CUST01306,Home Loan,3890000,1293918.24,7.3,36,120646.2,2020-10-18,Written-Off
LN01307,CUST01307,Home Loan,2281000,1662881.84,8.9,36,72429.08,2020-07-31,Active
LN01308,CUST01308,Home Loan,3948000,2932516.46,8.38,120,48696.53,2022-06-03,Active
LN01309,CUST01309,Gold Loan,181000,55162.1,10.14,48,4602.81,2020-03-09,Written-Off
LN01310,CUST01310,Personal Loan,348000,251323.63,12.72,48,9287.68,2020-03-29,Active
LN01311,CUST01311,Auto Loan,282000,184678.53,9.88,180,3009.72,2023-12-22,Active
LN01312,CUST01312,Gold Loan,54000,37557.48,8.0,12,4697.38,2022-02-24,Active
LN01313,CUST01313,Education Loan,259000,151520.51,9.19,60,5400.33,2020-10-03,60 DPD
LN01314,CUST01314,Auto Loan,745000,331872.62,10.63,84,12611.74,2023-11-25,NPA
LN01315,CUST01315,Home Loan,3066000,2117568.7,8.54,84,48616.36,2020-03-02,Active
LN01316,CUST01316,Home Loan,2901000,1941863.93,7.73,48,70454.79,2022-11-25,Active
LN01317,CUST01317,Personal Loan,303000,102359.97,12.3,60,6786.09,2019-03-14,Written-Off
LN01318,CUST01318,Gold Loan,191000,123683.35,8.73,12,16679.33,2022-03-17,Active
LN01319,CUST01319,Business Loan,1358000,420525.72,12.16,60,30317.87,2020-02-25,Written-Off
LN01320,CUST01320,Home Loan,2269000,1458021.13,9.16,60,47277.1,2020-03-11,Active
LN01321,CUST01321,Home Loan,2919000,1919017.23,7.9,120,35261.47,2023-06-03,Active
LN01322,CUST01322,Auto Loan,781000,533704.46,9.38,36,24973.95,2019-10-09,Active
LN01323,CUST01323,Personal Loan,373000,239037.2,15.2,120,6063.56,2020-02-13,Active
LN01324,CUST01324,Home Loan,2746000,1820660.45,8.48,84,43459.38,2019-11-16,Active
LN01325,CUST01325,Personal Loan,324000,188616.38,14.26,84,6118.39,2022-12-09,30 DPD
LN01326,CUST01326,Gold Loan,123000,90530.55,7.99,48,3002.21,2021-07-14,Active
LN01327,CUST01327,Gold Loan,159000,117282.2,9.26,48,3976.38,2020-01-04,Active
LN01328,CUST01328,Personal Loan,269000,138691.2,14.09,84,5054.45,2020-01-29,90+ DPD
LN01329,CUST01329,Auto Loan,476000,335285.89,10.05,240,4609.28,2022-12-16,Active
LN01330,CUST01330,Home Loan,2725000,1981162.92,7.11,48,65392.68,2020-09-12,Active
LN01331,CUST01331,Education Loan,347000,210527.63,8.77,180,3472.19,2023-07-18,30 DPD
LN01332,CUST01332,Home Loan,2468000,1613299.0,8.79,60,50980.45,2023-06-09,30 DPD
LN01333,CUST01333,Home Loan,2225000,1360985.59,7.22,120,26087.12,2023-02-28,30 DPD
LN01334,CUST01334,Home Loan,2078000,1428271.52,10.53,36,67569.48,2023-02-04,Active
LN01335,CUST01335,Personal Loan,426000,318544.45,14.41,84,8080.04,2022-01-26,Active
LN01336,CUST01336,Business Loan,1491000,1092390.55,10.79,120,20361.69,2022-10-27,Active
LN01337,CUST01337,Gold Loan,137000,93790.09,9.21,120,1751.07,2021-09-23,Active
LN01338,CUST01338,Auto Loan,909000,672038.66,10.06,84,15118.67,2022-03-21,Active
LN01339,CUST01339,Education Loan,263000,170540.85,10.37,48,6717.19,2022-01-09,Active
LN01340,CUST01340,Home Loan,1614000,1192867.68,7.0,60,31959.13,2021-11-06,Active
LN01341,CUST01341,Personal Loan,295000,217575.57,13.64,36,10030.9,2023-06-25,Active
LN01342,CUST01342,Education Loan,340000,196411.69,8.54,48,8386.85,2021-12-29,60 DPD
LN01343,CUST01343,Personal Loan,334000,225125.29,13.85,48,9101.93,2020-05-26,Active
LN01344,CUST01344,Home Loan,2716000,925246.57,7.63,36,84646.74,2021-04-11,Written-Off
LN01345,CUST01345,Education Loan,493000,329382.63,10.6,84,8338.03,2021-05-23,Active
LN01346,CUST01346,Home Loan,4275000,2793690.83,8.75,84,68239.65,2019-08-26,Active
LN01347,CUST01347,Home Loan,2776000,1579361.92,7.06,36,85791.0,2020-02-19,60 DPD
LN01348,CUST01348,Personal Loan,352000,186660.87,11.46,84,6112.57,2019-02-26,60 DPD
LN01349,CUST01349,Home Loan,2864000,1940948.61,8.9,36,90941.2,2022-11-28,Active
LN01350,CUST01350,Auto Loan,511000,359091.51,9.44,36,16354.51,2022-12-24,Active
LN01351,CUST01351,Auto Loan,1110000,733542.95,10.46,84,18692.21,2022-02-27,Active
LN01352,CUST01352,Home Loan,1447000,712670.36,7.97,48,35305.13,2020-09-08,90+ DPD
LN01353,CUST01353,Gold Loan,163000,109562.36,9.96,60,3460.06,2020-08-16,Active
LN01354,CUST01354,Education Loan,612000,400778.17,10.31,36,19836.71,2019-02-19,Active
LN01355,CUST01355,Home Loan,3238000,2295117.97,8.85,60,66980.07,2020-04-14,Active
LN01356,CUST01356,Education Loan,453000,319375.17,8.78,36,14358.94,2021-03-19,Active
LN01357,CUST01357,Personal Loan,367000,209061.27,13.03,36,12370.98,2020-04-29,60 DPD
LN01358,CUST01358,Education Loan,343000,254594.52,9.29,48,8582.88,2023-03-02,Active
LN01359,CUST01359,Education Loan,751000,557042.41,8.66,84,11953.71,2019-11-28,Active
LN01360,CUST01360,Home Loan,2378000,1513316.13,9.03,36,75652.97,2021-08-23,30 DPD
LN01361,CUST01361,Auto Loan,596000,429480.62,9.74,24,27430.91,2019-05-25,Active
LN01362,CUST01362,Business Loan,809000,424078.15,11.85,12,71821.91,2019-07-25,90+ DPD
LN01363,CUST01363,Personal Loan,327000,212503.73,13.08,48,8785.58,2021-06-24,Active
LN01364,CUST01364,Home Loan,1315000,693585.29,8.49,36,41505.22,2019-03-31,90+ DPD
LN01365,CUST01365,Home Loan,3164000,2018872.12,8.64,36,100085.07,2023-01-14,Active
LN01366,CUST01366,Home Loan,2052000,1308619.92,8.06,240,17240.45,2019-06-19,Active
LN01367,CUST01367,Home Loan,3478000,2120367.6,8.31,36,109485.95,2022-06-15,30 DPD
LN01368,CUST01368,Personal Loan,188000,136621.36,13.13,60,4290.1,2020-04-07,Active
LN01369,CUST01369,Home Loan,2599000,1926272.32,8.13,240,21949.82,2022-11-24,Active
LN01370,CUST01370,Home Loan,2915000,1989229.91,8.52,12,254272.66,2022-04-04,Active
LN01371,CUST01371,Auto Loan,839000,277396.93,7.95,84,13055.94,2020-10-15,Written-Off
LN01372,CUST01372,Gold Loan,127000,87714.25,10.12,48,3228.37,2020-02-24,Active
LN01373,CUST01373,Business Loan,630000,421447.96,12.61,180,7810.04,2020-02-01,Active
LN01374,CUST01374,Home Loan,2157000,1437666.48,8.63,180,21405.52,2022-04-25,30 DPD
LN01375,CUST01375,Education Loan,675000,430560.72,10.17,48,17174.9,2023-08-18,30 DPD
LN01376,CUST01376,Business Loan,1628000,1164106.9,10.91,36,53229.27,2022-07-11,Active
LN01377,CUST01377,Business Loan,513000,294960.39,10.6,48,13159.32,2022-01-15,60 DPD
LN01378,CUST01378,Business Loan,779000,503976.51,10.49,180,8606.23,2022-06-10,Active
LN01379,CUST01379,Education Loan,240000,175397.99,9.85,36,7727.23,2019-11-05,Active
LN01380,CUST01380,Home Loan,2089000,1090504.49,8.61,240,18274.53,2020-12-15,60 DPD
LN01381,CUST01381,Home Loan,2022000,1446159.03,8.79,120,25384.6,2019-05-13,Active
LN01382,CUST01382,Personal Loan,192000,125452.27,14.25,36,6585.44,2023-07-27,Active
LN01383,CUST01383,Home Loan,3747000,1676453.06,7.0,84,56552.27,2023-02-05,NPA
LN01384,CUST01384,Gold Loan,202000,131669.85,8.04,12,17575.4,2019-10-31,Active
LN01385,CUST01385,Personal Loan,322000,240393.47,12.98,60,7323.19,2023-11-18,Active
LN01386,CUST01386,Gold Loan,145000,99492.26,9.53,48,3644.93,2023-11-21,Active
LN01387,CUST01387,Education Loan,634000,460757.27,9.62,48,15964.42,2023-11-14,Active
LN01388,CUST01388,Personal Loan,210000,152694.19,15.61,60,5063.38,2019-10-07,Active
LN01389,CUST01389,Home Loan,2679000,1744440.97,7.63,60,53847.31,2019-07-20,Active
LN01390,CUST01390,Home Loan,2046000,1166858.06,8.92,84,32835.25,2020-05-05,60 DPD
LN01391,CUST01391,Auto Loan,1192000,572085.41,10.76,84,20259.84,2023-10-08,NPA
LN01392,CUST01392,Education Loan,296000,201424.92,10.67,240,2989.08,2019-10-25,Active
LN01393,CUST01393,Gold Loan,138000,89458.43,8.84,84,2209.1,2022-03-06,Active
LN01394,CUST01394,Home Loan,1529000,899726.72,7.46,84,23422.05,2020-03-23,60 DPD
LN01395,CUST01395,Home Loan,3064000,2158107.61,9.02,48,76276.87,2019-07-16,Active
LN01396,CUST01396,Home Loan,3062000,2198114.48,8.73,24,139507.66,2022-01-19,Active
LN01397,CUST01397,Home Loan,1977000,1378672.28,8.96,24,90282.46,2021-01-01,Active
LN01398,CUST01398,Education Loan,314000,150969.67,10.58,60,6761.54,2023-07-31,90+ DPD
LN01399,CUST01399,Home Loan,2211000,1383517.44,8.31,84,34803.59,2019-03-02,30 DPD
LN01400,CUST01400,Personal Loan,237000,166702.01,12.67,84,4269.09,2021-04-30,Active
LN01401,CUST01401,Personal Loan,306000,203252.26,13.95,180,4064.85,2019-03-13,Active
LN01402,CUST01402,Personal Loan,446000,327178.18,13.75,48,12131.75,2021-04-02,Active
LN01403,CUST01403,Auto Loan,839000,267726.07,9.75,60,17723.24,2020-03-27,Written-Off
LN01404,CUST01404,Personal Loan,368000,264209.86,12.69,120,5427.55,2023-12-22,Active
LN01405,CUST01405,Personal Loan,300000,223112.76,13.77,48,8163.37,2023-07-21,Active
LN01406,CUST01406,Auto Loan,1255000,698430.66,10.69,60,27093.12,2019-07-18,60 DPD
LN01407,CUST01407,Home Loan,2587000,1783482.43,7.23,180,23586.61,2021-04-03,Active
LN01408,CUST01408,Auto Loan,852000,560749.68,10.04,60,18119.26,2019-10-10,Active
LN01409,CUST01409,Gold Loan,199000,97403.45,9.47,84,3249.4,2023-11-14,90+ DPD
LN01410,CUST01410,Auto Loan,689000,480251.13,11.44,180,8022.57,2022-03-20,Active
LN01411,CUST01411,Personal Loan,319000,211601.9,13.55,60,7348.36,2021-11-29,Active
LN01412,CUST01412,Education Loan,415000,265782.9,10.74,24,19292.2,2020-01-06,Active
LN01413,CUST01413,Education Loan,503000,335250.1,10.17,120,6694.62,2020-04-21,Active
LN01414,CUST01414,Personal Loan,432000,308573.09,14.19,120,6756.95,2019-02-27,Active
LN01415,CUST01415,Auto Loan,944000,692946.92,9.36,24,43282.49,2020-07-01,Active
LN01416,CUST01416,Personal Loan,362000,236111.39,15.48,60,8703.43,2022-06-30,Active
LN01417,CUST01417,Education Loan,637000,454226.41,9.55,60,13393.76,2020-12-14,Active
LN01418,CUST01418,Home Loan,2472000,1514547.51,8.66,120,30861.2,2020-02-20,30 DPD
LN01419,CUST01419,Business Loan,1284000,781584.2,12.02,36,42659.44,2019-08-27,30 DPD
LN01420,CUST01420,Personal Loan,286000,196247.15,14.49,48,7885.85,2020-01-19,Active
LN01421,CUST01421,Personal Loan,153000,81017.42,15.07,60,3645.48,2020-02-11,90+ DPD
LN01422,CUST01422,Personal Loan,465000,265806.3,14.03,60,10826.97,2022-04-06,60 DPD
LN01423,CUST01423,Personal Loan,282000,181424.41,13.19,180,3603.31,2019-04-21,30 DPD
LN01424,CUST01424,Home Loan,3291000,1541091.06,9.86,180,35083.92,2022-12-26,90+ DPD
LN01425,CUST01425,Home Loan,2228000,1450594.98,7.49,24,100248.96,2023-10-15,Active
LN01426,CUST01426,Personal Loan,58000,40252.72,12.94,36,1952.57,2023-08-30,Active
LN01427,CUST01427,Personal Loan,293000,98217.15,12.39,12,26086.18,2022-08-12,Written-Off
LN01428,CUST01428,Personal Loan,134000,80124.59,13.21,48,3608.87,2019-10-12,30 DPD
LN01429,CUST01429,Home Loan,3067000,2144224.86,9.3,84,49813.43,2019-10-28,Active
LN01430,CUST01430,Personal Loan,279000,206627.08,13.32,60,6393.9,2020-08-25,Active
LN01431,CUST01431,Home Loan,3414000,2373355.44,8.55,24,155263.77,2023-03-13,Active
LN01432,CUST01432,Home Loan,2675000,1849977.22,8.79,36,84803.08,2020-06-29,Active
LN01433,CUST01433,Home Loan,1727000,1214675.55,8.32,36,54373.21,2022-01-18,Active
LN01434,CUST01434,Personal Loan,360000,257544.31,12.61,60,8119.41,2023-03-04,Active
LN01435,CUST01435,Home Loan,1330000,809721.75,7.18,84,20190.5,2023-03-31,30 DPD
LN01436,CUST01436,Home Loan,2270000,1532574.36,9.55,48,57083.74,2020-08-04,Active
LN01437,CUST01437,Personal Loan,132000,86474.69,12.99,24,6274.9,2023-10-19,Active
LN01438,CUST01438,Home Loan,2763000,2056342.8,7.95,84,42995.91,2021-04-29,Active
LN01439,CUST01439,Personal Loan,322000,206996.32,12.3,120,4675.78,2021-12-30,Active
LN01440,CUST01440,Personal Loan,311000,214383.1,13.39,36,10537.34,2020-10-03,Active
LN01441,CUST01441,Business Loan,719000,513654.59,12.43,48,19086.18,2019-12-20,Active
LN01442,CUST01442,Education Loan,703000,504376.25,9.21,24,32184.15,2020-10-02,Active
LN01443,CUST01443,Gold Loan,191000,122599.77,9.28,36,6098.67,2020-09-24,30 DPD
LN01444,CUST01444,Personal Loan,321000,216936.25,11.92,84,5652.8,2019-07-01,Active
LN01445,CUST01445,Personal Loan,248000,160254.36,13.64,48,6732.27,2022-02-22,Active
LN01446,CUST01446,Business Loan,895000,664414.66,11.67,60,19759.85,2019-04-20,Active
LN01447,CUST01447,Personal Loan,299000,197019.0,12.35,180,3656.1,2022-11-10,Active
LN01448,CUST01448,Personal Loan,201000,148685.7,12.21,84,3570.81,2023-11-05,Active
LN01449,CUST01449,Personal Loan,377000,249900.34,12.81,60,8541.29,2019-06-13,Active
LN01450,CUST01450,Personal Loan,413000,266564.36,12.53,48,10983.66,2023-04-13,Active
LN01451,CUST01451,Home Loan,3782000,1761545.22,8.78,36,119879.72,2022-05-23,90+ DPD
LN01452,CUST01452,Education Loan,448000,303663.62,9.85,84,7402.65,2019-04-13,Active
LN01453,CUST01453,Gold Loan,212000,138774.56,9.14,24,9698.79,2020-02-08,Active
LN01454,CUST01454,Home Loan,3579000,2475864.15,8.8,24,163177.47,2022-04-03,Active
LN01455,CUST01455,Education Loan,405000,178473.22,8.24,24,18361.42,2023-05-14,NPA
LN01456,CUST01456,Home Loan,1747000,1278065.24,8.91,36,55480.99,2021-12-03,Active
LN01457,CUST01457,Home Loan,3315000,2372781.95,9.03,60,68862.22,2022-03-09,Active
LN01458,CUST01458,Auto Loan,585000,301608.17,10.22,120,7802.26,2021-11-21,90+ DPD
LN01459,CUST01459,Home Loan,1950000,1372714.41,8.42,240,16823.95,2019-09-06,Active
LN01460,CUST01460,Personal Loan,373000,239777.05,12.91,84,6767.37,2021-03-16,Active
LN01461,CUST01461,Home Loan,1461000,759029.56,8.77,24,66591.34,2020-06-26,90+ DPD
LN01462,CUST01462,Personal Loan,260000,176237.62,13.19,36,8784.24,2020-06-13,Active
LN01463,CUST01463,Personal Loan,132000,96567.36,14.24,24,6352.68,2023-08-20,Active
LN01464,CUST01464,Business Loan,748000,451160.16,12.22,24,35287.85,2023-10-28,30 DPD
LN01465,CUST01465,Auto Loan,562000,400642.72,9.87,60,11904.92,2020-02-17,Active
LN01466,CUST01466,Home Loan,1937000,1366402.21,8.23,180,18769.09,2023-06-15,Active
LN01467,CUST01467,Personal Loan,261000,169676.97,13.37,84,4800.76,2021-09-17,Active
LN01468,CUST01468,Business Loan,384000,250688.6,11.88,120,5482.68,2021-04-10,Active
LN01469,CUST01469,Auto Loan,489000,366743.77,9.94,60,10375.37,2021-05-29,Active
LN01470,CUST01470,Auto Loan,982000,663089.51,8.97,60,20370.41,2023-11-18,Active
LN01471,CUST01471,Personal Loan,327000,160885.96,13.69,180,4286.9,2021-04-28,90+ DPD
LN01472,CUST01472,Personal Loan,254000,151581.13,13.64,84,4709.59,2020-06-15,60 DPD
LN01473,CUST01473,Auto Loan,562000,185813.61,9.06,60,11682.57,2023-08-22,Written-Off
LN01474,CUST01474,Education Loan,615000,204890.52,9.68,48,15503.65,2021-11-20,Written-Off
LN01475,CUST01475,Home Loan,2564000,848464.77,8.49,24,116536.62,2020-11-28,Written-Off
LN01476,CUST01476,Gold Loan,100000,43128.5,8.34,120,1231.32,2021-09-25,NPA
LN01477,CUST01477,Home Loan,2100000,1534646.43,8.99,36,66769.67,2020-01-26,Active
LN01478,CUST01478,Personal Loan,189000,121204.94,14.57,60,4453.75,2019-08-12,Active
LN01479,CUST01479,Home Loan,1981000,1344779.32,8.04,60,40205.47,2023-03-07,Active
LN01480,CUST01480,Personal Loan,362000,194146.77,13.58,84,6700.17,2023-12-09,90+ DPD
LN01481,CUST01481,Personal Loan,353000,240070.79,14.5,24,17032.05,2021-09-09,Active
LN01482,CUST01482,Home Loan,3272000,976303.31,7.0,12,283115.51,2021-08-14,Written-Off
LN01483,CUST01483,Gold Loan,156000,93223.38,10.51,84,2631.08,2023-04-28,30 DPD
LN01484,CUST01484,Personal Loan,164000,121969.43,13.56,60,3778.69,2020-05-23,Active
LN01485,CUST01485,Personal Loan,188000,124949.22,14.11,36,6435.44,2019-02-18,30 DPD
LN01486,CUST01486,Personal Loan,343000,162865.73,12.14,240,3810.26,2022-10-18,90+ DPD
LN01487,CUST01487,Home Loan,2576000,1925479.41,7.41,84,39397.07,2021-03-18,Active
LN01488,CUST01488,Personal Loan,196000,82210.11,12.73,60,4432.56,2020-12-10,NPA
LN01489,CUST01489,Personal Loan,269000,201517.42,12.65,84,4842.6,2023-09-23,Active
LN01490,CUST01490,Personal Loan,471000,161006.19,11.64,36,15563.08,2023-11-01,Written-Off
LN01491,CUST01491,Business Loan,1279000,946680.97,11.05,180,14577.26,2021-11-04,Active
LN01492,CUST01492,Home Loan,3624000,2367259.83,7.84,240,29952.72,2019-12-12,Active
LN01493,CUST01493,Auto Loan,452000,303493.65,8.85,60,9349.91,2023-01-31,Active
LN01494,CUST01494,Home Loan,3753000,1936038.21,9.69,84,61704.76,2021-02-18,90+ DPD
LN01495,CUST01495,Personal Loan,253000,175668.31,14.01,84,4742.62,2023-11-04,Active
LN01496,CUST01496,Personal Loan,441000,295604.37,12.91,84,8001.09,2020-05-07,Active
LN01497,CUST01497,Home Loan,2769000,1981867.16,8.96,48,68854.1,2019-08-27,Active
LN01498,CUST01498,Personal Loan,357000,258900.7,13.77,60,8264.26,2020-10-27,Active
LN01499,CUST01499,Personal Loan,363000,243068.38,12.12,36,12077.61,2021-07-14,Active
LN01500,CUST01500,Gold Loan,154000,99661.95,9.34,48,3857.21,2021-05-10,Active
LN01501,CUST01501,Auto Loan,823000,577841.4,9.67,48,20743.22,2021-07-14,Active
LN01502,CUST01502,Home Loan,1736000,1184140.1,9.05,36,55244.74,2019-03-18,Active
LN01503,CUST01503,Home Loan,2403000,1769209.97,7.63,84,37012.24,2019-08-21,Active
LN01504,CUST01504,Home Loan,3086000,1982951.59,8.94,48,76707.35,2023-01-09,Active
LN01505,CUST01505,Home Loan,2582000,1831321.72,9.34,60,54025.14,2019-06-20,Active
LN01506,CUST01506,Auto Loan,626000,402418.91,10.32,36,20293.44,2020-06-17,Active
LN01507,CUST01507,Business Loan,1070000,695758.09,10.57,60,23035.59,2021-01-16,Active
LN01508,CUST01508,Home Loan,1477000,467999.43,10.47,84,24880.12,2021-09-27,Written-Off
LN01509,CUST01509,Personal Loan,394000,261308.67,13.98,48,10762.68,2019-09-30,Active
LN01510,CUST01510,Personal Loan,113000,74094.21,13.31,60,2589.07,2021-11-14,Active
LN01511,CUST01511,Auto Loan,695000,505074.89,10.5,84,11718.17,2021-01-26,Active
LN01512,CUST01512,Home Loan,3070000,1657035.51,10.19,48,78143.56,2021-04-17,60 DPD
LN01513,CUST01513,Gold Loan,154000,104492.93,7.87,48,3750.2,2022-06-23,Active
LN01514,CUST01514,Auto Loan,601000,361544.5,10.87,24,27975.05,2020-07-02,60 DPD
LN01515,CUST01515,Gold Loan,199000,144448.43,8.87,60,4118.37,2020-04-18,Active
LN01516,CUST01516,Home Loan,1983000,1381068.28,8.25,84,31155.03,2022-08-29,Active
LN01517,CUST01517,Auto Loan,1054000,683058.64,9.79,60,22285.63,2023-02-01,Active
LN01518,CUST01518,Education Loan,469000,348872.04,7.83,36,14660.0,2022-10-10,Active
LN01519,CUST01519,Auto Loan,648000,464794.05,10.38,36,21024.94,2023-12-19,Active
LN01520,CUST01520,Home Loan,3046000,1953855.99,7.0,36,94051.64,2023-10-11,Active
LN01521,CUST01521,Gold Loan,136000,101216.83,8.58,12,11866.93,2023-01-22,Active
LN01522,CUST01522,Business Loan,1029000,664291.17,11.6,48,26895.87,2020-05-30,Active
LN01523,CUST01523,Home Loan,2928000,2065226.62,8.19,36,92009.74,2019-02-27,Active
LN01524,CUST01524,Personal Loan,190000,129544.47,11.77,84,3330.69,2019-06-21,Active
LN01525,CUST01525,Personal Loan,355000,240707.98,14.21,180,4777.87,2022-09-15,30 DPD
LN01526,CUST01526,Business Loan,492000,364741.76,10.53,24,22823.85,2019-09-30,Active
LN01527,CUST01527,Auto Loan,697000,491292.4,9.26,120,8927.68,2022-06-07,Active
LN01528,CUST01528,Home Loan,2233000,1450386.41,8.06,84,34870.8,2019-05-26,30 DPD
LN01529,CUST01529,Home Loan,1517000,797262.83,8.25,120,18606.4,2022-12-31,90+ DPD
LN01530,CUST01530,Home Loan,3769000,2750560.77,8.8,36,119502.67,2022-07-22,Active
LN01531,CUST01531,Home Loan,2626000,1851073.11,8.52,180,25890.06,2021-05-03,Active
LN01532,CUST01532,Home Loan,2010000,963563.41,10.04,180,21648.78,2021-04-08,90+ DPD
LN01533,CUST01533,Auto Loan,730000,491056.24,10.28,180,7970.13,2023-05-12,Active
LN01534,CUST01534,Education Loan,873000,621912.52,9.72,84,14366.85,2022-09-20,Active
LN01535,CUST01535,Personal Loan,210000,150125.44,13.04,24,9987.73,2019-10-27,Active
LN01536,CUST01536,Auto Loan,838000,569245.0,10.24,36,27134.43,2019-05-27,Active
LN01537,CUST01537,Home Loan,1814000,1087911.02,8.11,180,17450.92,2021-07-09,60 DPD
LN01538,CUST01538,Personal Loan,343000,234099.99,13.12,36,11576.86,2020-07-02,Active
LN01539,CUST01539,Auto Loan,562000,327315.95,12.54,48,14949.06,2021-10-17,60 DPD
LN01540,CUST01540,Personal Loan,285000,188401.28,14.73,24,13782.16,2021-12-17,Active
LN01541,CUST01541,Personal Loan,314000,212647.63,12.8,60,7112.36,2022-07-15,Active
LN01542,CUST01542,Home Loan,3490000,2439276.55,9.02,60,72480.54,2019-02-01,Active
LN01543,CUST01543,Auto Loan,390000,160176.77,10.22,180,4243.61,2020-02-14,NPA
LN01544,CUST01544,Education Loan,755000,484872.05,8.97,120,9551.77,2020-03-06,Active
LN01545,CUST01545,Personal Loan,127000,84817.64,15.17,60,3032.67,2023-06-13,Active
LN01546,CUST01546,Home Loan,2746000,2006293.88,8.34,60,56126.88,2019-08-10,Active
LN01547,CUST01547,Business Loan,1018000,673769.81,13.11,48,27366.0,2019-02-20,Active
LN01548,CUST01548,Home Loan,2402000,1770661.9,7.97,24,108603.09,2021-03-19,Active
LN01549,CUST01549,Personal Loan,303000,217571.24,14.38,120,4774.05,2021-09-24,Active
LN01550,CUST01550,Home Loan,2891000,964635.25,9.57,60,60815.32,2023-01-25,Written-Off
LN01551,CUST01551,Business Loan,1139000,812492.35,11.22,48,29559.89,2020-12-05,Active
LN01552,CUST01552,Education Loan,473000,353489.41,9.24,24,21661.01,2020-07-26,Active
LN01553,CUST01553,Personal Loan,363000,257290.52,13.43,84,6688.84,2021-06-13,Active
LN01554,CUST01554,Auto Loan,652000,463274.41,11.31,48,16949.6,2020-04-03,Active
LN01555,CUST01555,Personal Loan,308000,212060.28,14.74,36,10637.75,2021-03-13,Active
LN01556,CUST01556,Home Loan,3368000,1156221.3,8.18,120,41184.18,2020-08-19,Written-Off
